Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.24
2                       0.48
4                       0.87
8                       1.77
16                      3.79
32                      7.43
64                     13.94
128                    26.65
256                    49.14
512                    88.02
1024                  157.42
2048                  228.01
4096                  273.95
8192                  303.65
16384                 323.88
32768                 334.15
65536                 327.62
131072                338.39
262144                220.14
524288                154.05
1048576               154.06
2097152               154.07
4194304               154.07
