Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                      15.42
1                      12.40
2                      12.85
4                      12.14
8                      12.16
16                     13.12
32                     12.32
64                     12.15
128                    12.51
256                    12.61
512                    14.65
1024                   17.29
2048                   17.21
4096                   17.24
8192                   20.07
16384                  23.11
32768                  44.42
65536                  96.00
131072                105.06
262144                167.50
524288                203.69
1048576               335.40
2097152               610.30
4194304              1273.45
