Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                     351.28
8                     351.50
16                    416.00
32                    354.84
64                    377.78
128                   337.43
256                   357.70
512                   348.42
1024                  388.32
2048                  356.54
4096                  397.60
8192                  660.15
16384                 696.76
32768                 787.64
65536                 908.25
131072               1846.54
262144               3561.07
524288               4604.56
1048576              5718.71
