Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                     341.55
2                     363.66
4                     358.94
8                     354.52
16                    371.22
32                    336.56
64                    336.29
128                   336.65
256                   348.29
512                   361.53
1024                  341.79
2048                  344.11
4096                  353.22
8192                  477.04
16384                 436.58
32768                 510.90
65536                1066.19
131072               1287.68
262144               1962.33
524288               4408.18
1048576             11404.72
