Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     118.62
2                     125.55
4                     122.63
8                     130.80
16                    127.20
32                    121.78
64                    142.25
128                   155.71
256                   176.26
512                   141.87
1024                  153.81
2048                  178.27
4096                  180.69
8192                  205.98
16384                 239.02
32768                 340.93
65536                 698.94
131072               1077.32
262144               1967.23
524288               4984.20
1048576              7794.42
