Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      93.42
2                      93.83
4                      91.10
8                      94.15
16                     96.33
32                     90.28
64                     93.91
128                    84.96
256                    94.69
512                    83.57
1024                   90.21
2048                  111.64
4096                  126.43
8192                  149.87
16384                 171.04
32768                 214.22
65536                 463.96
131072                542.41
262144                856.88
524288               1309.37
1048576              2441.38
