Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     277.84
8                     280.65
16                    276.25
32                    289.63
64                    299.63
128                   286.82
256                   294.37
512                   291.45
1024                  297.18
2048                  319.06
4096                  353.25
8192                  672.83
16384                 757.72
32768                 888.55
65536                1088.60
131072               1946.31
262144               3474.26
524288               6019.13
1048576              9597.09
