Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      51.17
2                      51.80
4                      51.48
8                      51.09
16                     51.40
32                     50.99
64                     51.33
128                    51.71
256                    52.06
512                    52.32
1024                   53.92
2048                   55.38
4096                   58.71
8192                   63.09
16384                  83.35
32768                 117.46
65536                 276.96
131072                343.76
262144                483.83
524288               1260.32
1048576              1839.80
