Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      17.90
8                      17.56
16                     17.43
32                     17.80
64                     18.80
128                    18.85
256                    22.66
512                    30.19
1024                   29.62
2048                   20.65
4096                   39.74
8192                   22.87
16384                  58.25
32768                  73.71
65536                  97.41
131072                211.29
262144                361.05
524288                671.88
1048576               694.58
