Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      47.21
2                      47.06
4                      74.89
8                      50.50
16                     49.13
32                     48.99
64                     51.25
128                    54.56
256                    53.64
512                    48.92
1024                   50.14
2048                   50.61
4096                   53.17
8192                   58.57
16384                  84.41
32768                 114.44
65536                 283.40
131072                374.68
262144                518.46
524288                985.50
1048576              1921.61
