Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     143.21
2                     135.84
4                     128.78
8                     133.02
16                    154.86
32                    159.16
64                    159.40
128                   161.53
256                   163.65
512                   144.98
1024                  150.19
2048                  165.30
4096                  172.21
8192                  204.86
16384                 256.85
32768                 326.15
65536                 704.98
131072               1005.02
262144               1679.06
524288               5503.01
1048576              5929.53
