Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     129.19
2                     127.68
4                     129.84
8                     126.13
16                    125.45
32                    130.24
64                    128.10
128                   137.88
256                   129.22
512                   142.82
1024                  149.27
2048                  162.37
4096                  172.23
8192                  191.60
16384                 234.59
32768                 326.39
65536                 661.16
131072                993.76
262144               1757.50
524288               4887.16
1048576              7774.67
