Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     274.61
8                     292.36
16                    281.06
32                    284.49
64                    284.38
128                   274.39
256                   287.52
512                   294.19
1024                  313.72
2048                  325.77
4096                  350.44
8192                  664.25
16384                 763.82
32768                 907.23
65536                1107.13
131072               1959.30
262144               3122.18
524288               5076.10
1048576              7760.36
