Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      69.49
2                      67.04
4                      72.36
8                      66.02
16                     68.53
32                     71.33
64                     72.26
128                    71.09
256                    72.73
512                    79.30
1024                   95.24
2048                  107.32
4096                  113.69
8192                  138.05
16384                 159.37
32768                 196.36
65536                 422.09
131072                528.48
262144                854.94
524288               1342.31
1048576              2150.48
