Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     158.41
8                     159.50
16                    169.83
32                    170.65
64                    173.52
128                   169.62
256                   175.17
512                   188.02
1024                  199.76
2048                  235.46
4096                  251.94
8192                  504.32
16384                 569.14
32768                 655.98
65536                 770.27
131072               1319.64
262144               2471.79
524288               3584.63
1048576              5632.42
