Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      70.35
2                      75.83
4                      69.91
8                      69.76
16                     69.44
32                     70.05
64                     69.11
128                    69.66
256                    71.32
512                    74.63
1024                   78.19
2048                   96.09
4096                  106.29
8192                  133.53
16384                 157.40
32768                 192.52
65536                 382.30
131072                471.58
262144                774.85
524288               1223.23
1048576              2230.45
