Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     147.23
8                     149.88
16                    151.77
32                    157.45
64                    152.12
128                   153.56
256                   155.09
512                   160.61
1024                  183.40
2048                  203.11
4096                  227.24
8192                  486.14
16384                 514.99
32768                 598.62
65536                 718.24
131072               1309.47
262144               2452.98
524288               3624.39
1048576              5523.62
